top_artist,genero_musical,promedio_commits,cantidad_entradas
Bad Bunny,Trap,7.75,71
La T y La M,Cumbia,7.08,26
The La Planta,Cumbia,6.0,13
Cumbia rocha,Cumbia,7.45,11
Maluma,Reggaeton,5.3,10
KAROL G,Reggaeton,7.0,9
RÜFÜS DU SOL,Electronic,7.12,8
PAWSA,Electronic,8.29,7
J Balvin,Reggaeton,9.0,5
Los Piojos,Rock,10.4,5
Maty Deejay,Electronic,10.0,5
Eladio Carrion,Trap,7.0,4
Ke Personajes,Cumbia,7.5,4
Las Pastillas del Abuelo,Rock,8.75,4
Rauw Alejandro,Reggaeton,11.25,4
Beéle,Latin Pop,9.67,3
Luck Ra,Cumbia,5.33,3
Myke Towers,Reggaeton,3.67,3
Shakira,Pop,4.33,3
Anyma,Electronic,7.0,2
Babasonicos,Rock,10.0,2
Big One,Trap,5.0,2
Duki,Trap,8.5,2
Fran Laborde,Rock,8.5,2
Justin Bieber,Pop,6.0,2
Justin Quiles,Reggaeton,4.5,2
TINI,Pop,1.5,2
ARTBAT,Electronic,6.0,1
Airbag,Rock,5.0,1
Arcángel,Reggaeton,4.0,1
Bizarrap,Trap,3.0,1
Blessd,Reggaeton,8.0,1
Callejeros,Rock,7.0,1
Daddy Yankee,Reggaeton,6.0,1
Danny Tenaglia,Electronic,6.0,1
El Kuelgue,Rock,10.0,1
Eli Brown,Electronic,6.0,1
FISHER,Electronic,5.0,1
Feid,Reggaeton,6.0,1
HUGEL,Electronic,4.0,1
Hernan y La Champion's Liga,Cumbia,1.0,1
Intoxicados,Rock,6.0,1
Jamiroquai,Funk,8.0,1
John Summit,Electronic,12.0,1
Korolova,Electronic,8.0,1
La Nueva Luna,Cumbia,6.0,1
Lucca Saettone,Electronic,12.0,1
Luis Alberto Spinetta,Rock,5.0,1
Manuel Turizo,Reggaeton,7.0,1
Marshmello,Electronic,6.0,1
Mau P,Electronic,9.0,1
Max Carra,Electronic,6.0,1
Maz,Electronic,2.0,1
Migrantes,Cumbia,13.0,1
Nico Morano,Electronic,7.0,1
Swedish House Mafia,Electronic,8.0,1
Treekoo,Electronic,6.0,1
Wade,Electronic,4.0,1
